,sna,tot,sbi,sarea,mday,ar,bemp,act
575,YouBike2.0_中原公園,15,6,中山區,2023-06-03 09:29:14,新生北路二段45巷(中原公園西側),9,1
579,YouBike2.0_民權建國路口,34,4,中山區,2023-06-03 09:25:14,民權東路三段/建國北路三段口(東北側),30,1
580,YouBike2.0_松江路431巷口,15,2,中山區,2023-06-03 09:28:13,松江路433號前,13,1
586,YouBike2.0_渭水八德路口,23,1,中山區,2023-06-03 09:28:13,渭水路54號對側,22,1
588,YouBike2.0_撫順公園,20,6,中山區,2023-06-03 09:31:14,中山北路三段2號對側,14,1
589,YouBike2.0_新生公園,16,6,中山區,2023-06-03 09:15:14,民族東路/吉林路口(西北側),10,1
590,YouBike2.0_捷運行天宮站(1號出口),46,6,中山區,2023-06-03 09:08:13,松江路230號前,40,1
591,YouBike2.0_林森長春路口,28,6,中山區,2023-06-03 09:25:14,長春路29號前,22,1
593,YouBike2.0_松江路77巷口,10,1,中山區,2023-06-03 09:28:13,松江路77巷口,9,1
594,YouBike2.0_建國長安路口,20,1,中山區,2023-06-03 09:13:14,建國北路一段與長安東路二段口北側,18,1
595,YouBike2.0_市民新生路口,15,1,中山區,2023-06-03 08:21:15,新生北路一段36號前,14,1
596,YouBike2.0_民權吉林路口,15,3,中山區,2023-06-03 09:17:26,民權東路二段51號前,12,1
597,YouBike2.0_中山農安街口,17,3,中山區,2023-06-03 09:25:14,中山北路三段25號前,14,1
598,YouBike2.0_捷運行政大樓,14,1,中山區,2023-06-03 09:29:14,中山北路二段48巷7號前,13,1
599,YouBike2.0_中吉公園(松江路188巷),22,0,中山區,2023-06-03 09:12:04,松江路188巷11號對側,22,1
600,YouBike2.0_吉林路123巷口,13,0,中山區,2023-06-03 09:27:04,吉林路125號前,13,1
601,YouBike2.0_中原民生路口,15,1,中山區,2023-06-03 09:19:04,民生東路二段33號旁,14,1
604,YouBike2.0_中山北路二段59巷口,12,1,中山區,2023-06-03 09:31:14,中山北路二段59之3號前,11,1
605,YouBike2.0_永盛公園(民生東路一段23巷),24,6,中山區,2023-06-03 09:26:14,民生東路一段23巷/民生東路一段27巷口,18,1
608,YouBike2.0_大佳社區公園,15,2,中山區,2023-06-03 09:25:14,濱江街154巷對側,13,1
610,YouBike2.0_興安合江路口,19,0,中山區,2023-06-03 09:04:04,興安街60號對側,19,1
614,YouBike2.0_新興公園,20,1,中山區,2023-06-03 09:31:14,錦州街13巷/中山北路二段137巷口(東南側),19,1
615,YouBike2.0_南京伊通街口,11,1,中山區,2023-06-03 09:31:14,南京東路二段178-1號,10,1
616,YouBike2.0_南京龍江路口,15,0,中山區,2023-06-03 08:55:10,南京東路三段121號前,15,1
617,YouBike2.0_撫順街41巷(崇德宮前),19,1,中山區,2023-06-03 09:30:40,撫順街41巷1-7號對側,18,1
620,YouBike2.0_捷運松江南京站(4號出口),32,3,中山區,2023-06-03 09:21:21,松江路95-1至109號前方,29,1
621,YouBike2.0_中429公園,15,1,中山區,2023-06-03 09:25:14,敬業三路177巷南側,14,1
622,YouBike2.0_長春路137巷口,16,0,中山區,2023-06-03 08:32:04,民生東路二段134號前,16,1
623,YouBike2.0_松江民生路口,17,1,中山區,2023-06-03 09:27:13,松江路208號前,16,1
624,YouBike2.0_松江路132巷口,14,3,中山區,2023-06-03 09:27:13,吉林路100號對側,11,1
625,YouBike2.0_長春吉林路口,10,0,中山區,2023-06-03 06:54:04,長春路120號前,10,1
626,YouBike2.0_長春一江街口,11,3,中山區,2023-06-03 09:08:13,長春路135號前,8,1
627,YouBike2.0_捷運松江南京站(8號出口),20,2,中山區,2023-06-03 09:29:14,南京東路二段101號前,18,1
628,YouBike2.0_南京一江街口,10,1,中山區,2023-06-03 08:46:04,南京東路二段85號前,9,1
629,YouBike2.0_松江長春路口,16,0,中山區,2023-06-03 09:15:04,松江路158號前,16,1
630,YouBike2.0_經國七海文化園區,15,3,中山區,2023-06-03 08:48:14,北安路301號前,12,1
631,YouBike2.0_民族玉門街口,20,2,中山區,2023-06-03 09:27:13,民族西路口與玉門街口東北側,18,1
632,YouBike2.0_新生農安街口,15,0,中山區,2023-06-03 09:23:04,新生北路三段與農安街口(高架橋下),15,1
633,YouBike2.0_稻江高級護理家事職業學校,14,3,中山區,2023-06-03 09:30:40,農安街77巷與農安街77巷1弄口,11,1
634,YouBike2.0_捷運大直站(3號出口)_1,18,3,中山區,2023-06-03 09:31:14,北安路458巷41弄52之1號前,15,1
635,YouBike2.0_樂群二明水路口_1,20,1,中山區,2023-06-03 09:21:21,樂群二路 / 明水路口(東側),19,1
636,YouBike2.0_民權吉林路口(南側),16,5,中山區,2023-06-03 09:26:14,民權東路二段46號前,11,1
637,YouBike2.0_長春龍江路口,24,0,中山區,2023-06-03 08:28:04,長春路與龍江路口西北側,24,1
639,YouBike2.0_建國長春路口(北側),20,0,中山區,2023-06-03 09:25:04,建國北路/長春路口(北側),20,1
640,YouBike2.0_中山行政中心,24,3,中山區,2023-06-03 09:26:14,松江路/農安街口,21,1
641,YouBike2.0_臺北市立美術館_1,18,4,中山區,2023-06-03 09:17:26,中山北路三段(花博流行館前),14,1
642,YouBike2.0_劍潭社區_1,18,1,中山區,2023-06-03 09:16:14,通北街143號前,17,1
643,YouBike2.0_濱江國小游泳池,16,1,中山區,2023-06-03 09:29:14,樂群二路266巷99號前,15,1
646,YouBike2.0_復華公園,20,0,中山區,2023-06-03 09:29:04,南京東路三段109巷/龍江路120巷,20,1
647,YouBike2.0_新生民族路口(西南側),15,0,中山區,2023-06-03 08:39:04,新生北路三段/民族東路(西南側),15,1
648,YouBike2.0_捷運南京復興站(1號出口),21,2,中山區,2023-06-03 09:23:14,捷運南京復興站(1號出口)後方(遼寧街155巷),19,1
649,YouBike2.0_八德市場(北側),16,3,中山區,2023-06-03 09:21:21,建國南路一段/市民大道交叉口(北側),12,1
650,YouBike2.0_龍江朱崙街口,14,6,中山區,2023-06-03 09:17:26,龍江路/朱崙街口西北側,8,1
651,YouBike2.0_大直街94巷,15,4,中山區,2023-06-03 09:30:40,大直街94巷口,11,1
656,YouBike2.0_新生北路一段62巷口,20,1,中山區,2023-06-03 08:12:14,新生北路一段64號對側,19,1
657,YouBike2.0_新生長春路口(東北側),19,4,中山區,2023-06-03 09:24:14,新生北路二段39-2號對側,15,1
658,YouBike2.0_捷運劍南路站(1號出口),17,1,中山區,2023-06-03 09:30:40,北安路811巷/821巷4弄口,16,1
660,YouBike2.0_長春路258巷2弄口,15,0,中山區,2023-06-03 08:56:04,長春路258巷6號北側,15,1
661,YouBike2.0_長寧大廈社區(南側),15,1,中山區,2023-06-03 09:25:04,遼寧街201巷13號前,14,1
663,YouBike2.0_中山北路二段62巷口,12,3,中山區,2023-06-03 09:16:14,中山北路二段66號前,9,1
664,YouBike2.0_市民安東街口,20,0,中山區,2023-06-03 09:17:16,市民大道三段179號前,20,1
665,YouBike2.0_市民大道二段5巷口,15,3,中山區,2023-06-03 09:26:14,市民大道二段/市民大道二段5巷,12,1
667,YouBike2.0_北勢湖環保公園,15,4,內湖區,2023-06-03 09:21:21,內湖路一段66-72號前方公園,11,1
668,YouBike2.0_洲子一號公園,43,1,內湖區,2023-06-03 08:21:15,基湖路37號西側,42,1
669,YouBike2.0_西康公園,16,2,內湖區,2023-06-03 08:58:14,內湖路一段225巷口,14,1
673,YouBike2.0_麗山國小,15,0,內湖區,2023-06-03 09:13:04,內湖路一段411巷56號東側,15,1
675,YouBike2.0_港華五號公園,16,0,內湖區,2023-06-03 09:05:04,環山路二段81號西北側,16,1
676,YouBike2.0_大湖國小,25,2,內湖區,2023-06-03 09:26:14,大湖山莊街/大湖山莊街176巷(東南側),23,1
677,YouBike2.0_安湖三號公園,12,6,內湖區,2023-06-03 09:22:14,東湖路113巷49弄3號北側,6,1
678,YouBike2.0_東湖路113巷95弄,10,3,內湖區,2023-06-03 09:09:14,東湖路113巷95弄13號西側,7,1
679,YouBike2.0_瑞光計程車服務站,20,3,內湖區,2023-06-03 08:54:15,港墘路221巷2號,17,1
680,YouBike2.0_文德三號公園(江南街71巷16弄),15,2,內湖區,2023-06-03 09:22:14,瑞光路271號東南側,13,1
682,YouBike2.0_康寧星雲街口,12,1,內湖區,2023-06-03 09:30:40,康寧路一段116號,11,1
684,YouBike2.0_捷運西湖站(1號出口),35,3,內湖區,2023-06-03 09:30:40,內湖路一段285巷15號(對面),32,1
685,YouBike2.0_捷運西湖站(2號出口),12,1,內湖區,2023-06-03 09:30:40,內湖路一段291號(對面),11,1
686,YouBike2.0_洲子二號公園,60,2,內湖區,2023-06-03 09:28:13,瑞光路500號(對面),58,1
687,YouBike2.0_港都公園,15,3,內湖區,2023-06-03 09:31:14,港華街57號(對面),12,1
688,YouBike2.0_環山路二段26巷口,29,0,內湖區,2023-06-03 06:52:04,環山路二段/環山路二段26巷(西南側),29,1
689,YouBike2.0_成功金龍路口,23,3,內湖區,2023-06-03 09:26:14,成功路四段188號,20,1
690,YouBike2.0_碧山公園,31,6,內湖區,2023-06-03 09:21:21,內湖路三段60巷28號東側,24,1
693,YouBike2.0_陽光公園,16,0,內湖區,2023-06-03 09:30:40,陽光街與文德路220巷口西側,16,1
694,YouBike2.0_文德二號公園(南側),13,6,內湖區,2023-06-03 08:30:41,陽光街與陽光街68巷102弄口,7,1
695,YouBike2.0_文德二號公園(北側),15,3,內湖區,2023-06-03 09:21:21,文德路210巷12號對側,12,1
696,YouBike2.0_瑞陽公園,12,1,內湖區,2023-06-03 09:31:14,文德路22巷6號(對面),11,1
698,YouBike2.0_潭美街213號,12,1,內湖區,2023-06-03 09:17:16,潭美街213號南側,11,1
699,YouBike2.0_南京東路六段180號,21,6,內湖區,2023-06-03 09:10:20,南京東路六段180號北側,15,1
700,YouBike2.0_潭美國小(南京舊宗路口),16,3,內湖區,2023-06-03 09:14:14,行善路179號南側,13,1
701,YouBike2.0_新明路343號,10,4,內湖區,2023-06-03 09:11:14,新明路341號北側,6,1
702,YouBike2.0_週美里活動廣場,17,6,內湖區,2023-06-03 09:18:13,潭美街139號對側,11,1
703,YouBike2.0_內湖行政中心,25,4,內湖區,2023-06-03 09:26:14,民權東路六段99號(前),21,1
705,YouBike2.0_安康路32巷24弄,21,2,內湖區,2023-06-03 07:54:15,安康路32巷24弄22號,19,1
706,YouBike2.0_明美公園,18,4,內湖區,2023-06-03 09:00:57,石潭路27號南側,14,1
707,YouBike2.0_南京東路六段368巷,33,4,內湖區,2023-06-03 08:53:14,南京東路六段382號西南側,29,1
708,YouBike2.0_新明成功路口,18,2,內湖區,2023-06-03 08:38:14,新明路22號,16,1
709,YouBike2.0_民權瑞光路口,20,5,內湖區,2023-06-03 09:27:13,民權東路六段50號,15,1
710,YouBike2.0_瑞光公共住宅(瑞光路),18,1,內湖區,2023-06-03 09:18:13,瑞光路160號,17,1
711,YouBike2.0_民權東路六段15巷,17,4,內湖區,2023-06-03 08:21:36,民權東路六段15巷29號,13,1
712,YouBike2.0_扶輪親恩公園,17,4,內湖區,2023-06-03 09:18:13,民權東路六段30號,13,1
713,YouBike2.0_新湖三民善街口,15,3,內湖區,2023-06-03 09:30:40,新湖三路36號,12,1
714,YouBike2.0_內湖119號綠地,24,1,內湖區,2023-06-03 09:25:14,南京東路六段125號南側,23,1
716,YouBike2.0_三軍總醫院,14,2,內湖區,2023-06-03 09:28:13,成功路二段424號(對面),12,1
717,YouBike2.0_福華商場,20,1,內湖區,2023-06-03 09:26:04,民權東路六段/民權東路六段180巷(西南側),19,1
718,YouBike2.0_臺北市網球中心,16,2,內湖區,2023-06-03 08:53:14,民權東路六段208號(前),14,1
721,YouBike2.0_金湖路347巷125弄口,15,3,內湖區,2023-06-03 08:47:14,金湖路347巷125弄1號(對面),12,1
722,YouBike2.0_碧湖公園,15,4,內湖區,2023-06-03 09:23:14,內湖路二段/內湖路二段103巷口(東北側),11,1
726,YouBike2.0_捷運內湖站(2號出口),10,4,內湖區,2023-06-03 09:29:14,成功路四段167巷6弄2號(旁),6,1
728,YouBike2.0_康寧路一段156巷20弄口,17,5,內湖區,2023-06-03 09:02:14,康寧路一段156巷/康寧路一段156巷20弄(西側),12,1
731,YouBike2.0_內溝溪生態展示館,8,2,內湖區,2023-06-03 08:40:21,康樂街236-3號(前),6,1
733,YouBike2.0_東湖國中,16,0,內湖區,2023-06-03 09:13:04,康樂街125巷4號(對面),16,1
734,YouBike2.0_石潭公園(安康路),20,4,內湖區,2023-06-03 09:26:14,安康路28號西北側,16,1
737,YouBike2.0_康寧路三段54巷口,15,1,內湖區,2023-06-03 09:21:21,康寧路三段54-5號西側,14,1
738,YouBike2.0_行善路25巷口,21,0,內湖區,2023-06-03 09:10:09,行善路39號(前),21,1
740,YouBike2.0_下灣公園,16,4,內湖區,2023-06-03 09:26:14,民權東路六段206巷/民權東路六段190巷75弄(西北側),12,1
741,YouBike2.0_民權東路六段245巷口,12,4,內湖區,2023-06-02 22:58:14,民權東路六段247號(前),8,1
743,YouBike2.0_捷運內湖站(1號出口),28,3,內湖區,2023-06-03 09:19:04,成功路四段182巷/成功路四段口(西側),25,1
744,YouBike2.0_瑞光港墘路口,15,6,內湖區,2023-06-03 09:05:14,港墘路185號前,9,1
747,YouBike2.0_星雲街138巷1弄口,15,5,內湖區,2023-06-03 09:29:14,星雲街138巷18號,10,1
749,YouBike2.0_東湖二號公園,15,5,內湖區,2023-06-03 09:14:14,康寧路三段99巷39弄70號東南側,10,1
750,YouBike2.0_康湖二號公園(康寧醫院),16,5,內湖區,2023-06-03 09:30:40,成功路五段420巷17號東側,11,1
751,YouBike2.0_堤頂大道新湖一路口,13,4,內湖區,2023-06-03 09:06:14,堤頂大道一段215號前,9,1
752,YouBike2.0_下灣公園(成功路),16,4,內湖區,2023-06-03 09:31:14,成功路二段189號北側,12,1
753,YouBike2.0_舊宗行善路口,9,5,內湖區,2023-06-03 09:29:14,行善路179號西側,4,1
754,YouBike2.0_新湖二路250巷口,20,5,內湖區,2023-06-03 09:08:14,新湖二路/新湖二路250巷(西南側),15,1
755,YouBike2.0_成功路四段41巷口,12,5,內湖區,2023-06-03 09:24:14,成功路四段41巷6號前側,7,1
756,YouBike2.0_金湖星雲街口,30,1,內湖區,2023-06-03 08:47:14,金湖路83號對側,29,1
757,YouBike2.0_國防醫學院,15,5,內湖區,2023-06-03 08:51:14,民權東路六段161號前側,10,1
758,YouBike2.0_民權東路六段190巷117弄口,15,1,內湖區,2023-06-02 21:37:14,民權東路六段190巷117弄15號對側,14,1
761,YouBike2.0_內湖路二段179巷口,16,5,內湖區,2023-06-03 08:16:24,內湖路二段179巷242號對側,11,1
762,YouBike2.0_行善行愛路口,12,3,內湖區,2023-06-03 09:31:14,行善路243號(前),9,1
763,YouBike2.0_民善新湖二路口(家樂福內湖店),23,5,內湖區,2023-06-03 08:00:50,民善街88號(旁),18,1
764,YouBike2.0_統振大樓,25,6,內湖區,2023-06-03 09:08:14,安美街181號前,19,1
768,YouBike2.0_三民國中(民權東路六段47巷),13,3,內湖區,2023-06-03 09:00:57,民權東路六段47巷6號對側,10,1
769,YouBike2.0_瑞光路76巷口,12,1,內湖區,2023-06-03 08:52:04,瑞光路102號前,11,1
771,YouBike2.0_新湖國小,12,1,內湖區,2023-06-03 08:52:04,民權東路六段/成功路二段320巷31弄(東南側),11,1
773,YouBike2.0_民權東路六段413巷,16,3,內湖區,2023-06-03 09:19:14,民權東路六段409號前,13,1
774,YouBike2.0_宏匯瑞光廣場(瑞光路),16,2,內湖區,2023-06-03 09:21:21,瑞光路353號前(瑞光路側人行道),14,1
776,YouBike2.0_康樂街151巷,14,5,內湖區,2023-06-03 09:00:57,康樂街151巷/康樂街,9,1
777,YouBike2.0_內湖路一段360巷,15,1,內湖區,2023-06-03 09:17:26,內湖路一段358號,13,1
778,YouBike2.0_成功路三段83號前,11,0,內湖區,2023-06-03 09:31:14,成功路三段83號前,11,1
779,YouBike2.0_內湖路一段47巷,16,5,內湖區,2023-06-03 09:18:13,內湖路一段47巷/內湖路一段47巷22弄,11,1
780,YouBike2.0_陽光舊宗路口,20,1,內湖區,2023-06-03 09:13:14,陽光街/舊宗路二段,19,1
781,YouBike2.0_安湖公園,8,0,內湖區,2023-06-03 05:56:03,東湖路113巷95弄/康寧路三段75巷,8,1
783,YouBike2.0_安泰街(康樂橋下),15,0,內湖區,2023-06-03 08:04:04,安泰街(康樂橋下),15,1
786,YouBike2.0_明美公園(行善路333巷),16,0,內湖區,2023-06-03 09:30:40,行善路333巷92號前,16,1
787,YouBike2.0_行善路383巷,17,3,內湖區,2023-06-03 08:43:14,行善路383巷27號對側,14,1
788,YouBike2.0_舊宗新湖三路口,18,5,內湖區,2023-06-03 08:47:14,舊宗路一段/新湖三路(南側),13,1
789,YouBike2.0_內湖運動公園,17,1,內湖區,2023-06-03 08:38:14,舊宗路二段/民權東路六段11巷,16,1
790,YouBike2.0_內湖路三段326巷口,15,2,內湖區,2023-06-03 09:27:13,內湖路三段326巷/內湖路三段,13,1
791,YouBike2.0_成功公園,11,4,內湖區,2023-06-03 09:00:57,成功路四段223巷/成功路四段223巷6弄,7,1
792,YouBike2.0_康寧路三段189巷93弄口,14,1,內湖區,2023-06-03 08:23:04,康寧路三段189巷/康寧路三段189巷93弄,13,1
793,YouBike2.0_中國醫藥大學附設醫院臺北分院,13,2,內湖區,2023-06-03 09:31:14,內湖路二段368號對側,11,1
794,YouBike2.0_康樂抽水站,15,6,內湖區,2023-06-03 05:55:21,東湖路160巷23號,9,1
795,YouBike2.0_環山路三段16巷口,13,1,內湖區,2023-06-03 09:00:57,環山路三段/環山路三段16巷口(東南側),12,1
798,YouBike2.0_行善社會住宅,23,2,內湖區,2023-06-03 09:14:14,行愛路與新湖一路口西南側,21,1
799,YouBike2.0_康寧路三段99巷17弄口,15,1,內湖區,2023-06-03 09:22:14,康寧路三段99巷19號對側,14,1
800,YouBike2.0_堤頂大道二段407巷口,15,0,內湖區,2023-06-03 07:19:04,堤頂大道二段405號前,15,1
801,YouBike2.0_海德堡科技大樓,12,0,內湖區,2023-06-02 18:39:04,堤頂大道二段473號前,12,1
802,YouBike2.0_致伸科技大樓,17,0,內湖區,2023-06-02 18:10:36,瑞光路669號旁,17,1
803,YouBike2.0_內湖路一段288巷口,20,0,內湖區,2023-06-03 08:24:04,內湖路一段290號前,20,1
804,YouBike2.0_大都會客運內湖站,15,2,內湖區,2023-06-03 08:16:25,民權東路六段11巷25號對側,13,1
805,YouBike2.0_瑞湖公園,15,1,內湖區,2023-06-03 05:33:04,民權東路六段15巷/民權東路六段19巷,14,1
806,YouBike2.0_台灣世曦大樓,16,0,內湖區,2023-06-03 09:23:04,陽光街323號,16,1
807,YouBike2.0_遠雄時代總部,14,4,內湖區,2023-06-03 08:56:14,瑞光路423號,10,1
808,YouBike2.0_瑞光路358巷口,14,0,內湖區,2023-06-02 19:03:04,瑞光路/瑞光路358巷,14,1
809,YouBike2.0_大港墘公園(洲子街),18,5,內湖區,2023-06-03 09:17:26,洲子街/瑞光路393巷,13,1
810,YouBike2.0_世紀經貿,16,0,內湖區,2023-06-03 07:57:04,內湖路一段396號,15,1
811,YouBike2.0_民權東路六段56巷口,15,4,內湖區,2023-06-03 08:55:22,民權東路六段56巷7號對側,11,1
812,YouBike2.0_新湖三行忠路72巷口,15,3,內湖區,2023-06-03 09:15:14,新湖三路/行忠路72巷,12,1
813,YouBike2.0_新湖三新湖二146巷口,15,1,內湖區,2023-06-03 05:21:04,新湖三路122、124號對側,14,1
815,YouBike2.0_新光基湖大樓,19,3,內湖區,2023-06-03 09:21:21,基湖路12號,16,1
816,YouBike2.0_內湖路一段120巷15弄,19,2,內湖區,2023-06-03 06:55:20,內湖路一段120巷15弄8號對側,17,1
817,YouBike2.0_北勢湖環保公園(堤頂大道側),14,1,內湖區,2023-06-03 07:50:10,堤頂大道二段501號前,13,1
818,YouBike2.0_達爾文大樓,15,0,內湖區,2023-06-03 08:27:04,洲子街61號,15,1
819,YouBike2.0_承德路七段304巷口,20,2,北投區,2023-06-03 09:24:14,承德路七段306-308號(前),18,1
821,YouBike2.0_榮華二明德路口,30,6,北投區,2023-06-03 09:22:14,明德路212號(榮華二路側人行道),24,1
822,YouBike2.0_捷運明德站(1號出口),23,1,北投區,2023-06-03 09:10:09,西安街一段明德路口(東南側),22,1
827,YouBike2.0_關渡醫院,14,2,北投區,2023-06-03 09:31:14,知行路235巷7號(對面),12,1
830,YouBike2.0_捷運關渡站(2號出口),14,0,北投區,2023-06-03 08:27:04,捷運關渡站2號出口外人行道,14,1
832,YouBike2.0_大度立德路口,18,4,北投區,2023-06-03 09:06:14,大度路三段立德路口(西北側),14,1
833,YouBike2.0_捷運復興崗站(1號出口),45,0,北投區,2023-06-03 09:30:28,中央北路三段9-1號(對面),45,1
838,YouBike2.0_秀山區民活動中心,20,0,北投區,2023-06-03 09:00:47,秀山路50號(旁),20,1
841,YouBike2.0_捷運北投站,30,0,北投區,2023-06-03 08:47:04,光明路2巷3號(對面),30,1
843,YouBike2.0_八仙里辦公處,16,0,北投區,2023-06-03 08:06:03,北投路一段臨20號(旁),13,1
847,YouBike2.0_北投奇岩長青樂活大樓,15,4,北投區,2023-06-03 09:16:14,三合街一段119號(前),10,1
848,YouBike2.0_捷運唭哩岸站(2號出口),54,2,北投區,2023-06-03 09:25:14,西安街二段345-349號(對面),51,1
853,YouBike2.0_捷運石牌站(1號出口),20,4,北投區,2023-06-03 09:13:14,石牌路一段139號(對面),16,1
855,YouBike2.0_石牌國小,26,1,北投區,2023-06-03 09:30:40,石牌路一段142號(對面),25,1
856,YouBike2.0_振興公園,13,2,北投區,2023-06-03 09:31:14,天母西路109號(對面),10,1
857,YouBike2.0_立農國小,19,5,北投區,2023-06-03 09:27:13,立農街一段201號(對面),14,1
858,YouBike2.0_承德路七段280巷口,17,3,北投區,2023-06-03 09:27:13,承德路七段260號(前),9,1
859,YouBike2.0_致遠一路二段11巷,22,5,北投區,2023-06-03 09:09:14,自強街61巷8號(旁),17,1
862,YouBike2.0_立功立德路口,32,2,北投區,2023-06-03 09:16:14,立德路15號(前),29,1
863,YouBike2.0_中央北路四段30巷口,16,4,北投區,2023-06-03 09:13:14,中央北路四段32號(旁),12,1
865,YouBike2.0_捷運新北投站(2號出口),11,4,北投區,2023-06-03 09:22:14,光明路225號(對面),7,1
868,YouBike2.0_承德路七段188巷口,16,0,北投區,2023-06-03 08:58:04,承德路七段192-198號前,14,1
876,YouBike2.0_裕民二路33巷,15,1,北投區,2023-06-03 08:53:14,裕民二路33巷/裕民六路(西北側),14,1
877,YouBike2.0_新奇岩社會住宅,12,6,北投區,2023-06-03 09:21:22,磺港路269-271號(旁),5,1
878,YouBike2.0_泉源公園,15,0,北投區,2023-06-02 20:03:04,珠海路145號(對側公園),15,1
879,YouBike2.0_奇岩4號綠地,12,3,北投區,2023-06-03 09:25:14,三合街一段79巷16號(對面),9,1
881,YouBike2.0_奇岩一號公園,24,4,北投區,2023-06-03 09:26:14,磺港路/清江路177巷(東側),18,1
883,YouBike2.0_中庸公園,12,6,北投區,2023-06-03 09:30:40,珠海路1號旁,6,1
887,YouBike2.0_致遠新村,15,6,北投區,2023-06-03 09:14:14,秀山路26號(懷遠新村社區入口南側),9,1
888,YouBike2.0_北投公園露天溫泉,15,5,北投區,2023-06-03 09:13:14,中山路6號西側(北投溪木道西側),10,1
889,YouBike2.0_中和街493巷9弄口,16,4,北投區,2023-06-03 07:59:14,中和街493巷9弄2號對側,12,1
892,YouBike2.0_捷運唭哩岸站(1號出口),20,0,北投區,2023-06-03 09:16:04,捷運唭哩岸站一(東華) 公車亭對側人行道,20,1
894,YouBike2.0_捷運忠義站(2號出口),20,0,北投區,2023-06-03 09:21:04,捷運忠義站(2號出口)無障礙坡道旁,20,1
895,YouBike2.0_福國承德路口,15,6,北投區,2023-06-03 09:29:14,承德路六段80號南側,9,1
897,YouBike2.0_華固創富中心,15,3,北投區,2023-06-03 08:19:14,承德路六段120號(北側地下室車道旁),12,1
899,YouBike2.0_北投文化公園(北側),15,6,北投區,2023-06-03 09:29:14,文化三路2號西側公園,9,1
900,YouBike2.0_捷運松山站(4號出口),19,4,松山區,2023-06-03 09:30:40,八德路四段742號,12,1
901,YouBike2.0_塔悠八德路口,34,1,松山區,2023-06-03 09:17:26,塔悠路2號(旁),33,1
908,YouBike2.0_西松高中,14,3,松山區,2023-06-03 09:22:14,健康路325巷5弄5號(前),11,1
909,YouBike2.0_民權復興路口,27,1,松山區,2023-06-03 09:07:13,民權東路三段119號(前),26,1
914,YouBike2.0_三民路166巷口,12,1,松山區,2023-06-03 09:24:14,三民路166巷1號(對面),11,1
917,YouBike2.0_臺北市藝文推廣處,45,5,松山區,2023-06-03 09:26:14,八德路三段25號(前),40,1
919,YouBike2.0_敦北公園,48,1,松山區,2023-06-03 09:30:40,敦化北路/富錦街77巷口(東南側),47,1
920,YouBike2.0_民權運動公園,21,1,松山區,2023-06-03 09:30:40,民權東路四段/新中街口(西南側),20,1
922,YouBike2.0_民生光復路口,31,1,松山區,2023-06-03 09:31:15,光復北路266號(前),30,1
923,YouBike2.0_三民公園,22,6,松山區,2023-06-03 09:29:14,撫遠街298號對側公園,16,1
924,YouBike2.0_八德路三段74巷口,17,2,松山區,2023-06-03 09:25:14,八德路三段74巷95號南側,15,1
925,YouBike2.0_八德路三段8巷口,15,3,松山區,2023-06-03 09:25:14,市民大道四段123號,12,1
926,YouBike2.0_三軍總醫院(松山分院),44,4,松山區,2023-06-03 09:29:14,光復北路/光復北路190巷口(東南側),40,1
927,YouBike2.0_平安新城,16,1,松山區,2023-06-03 09:23:04,延壽街356巷/延壽街330巷16弄(東北側),15,1
929,YouBike2.0_民權光復路口(東北側),24,2,松山區,2023-06-03 09:09:14,民權東路四段/光復北路(東北側),22,1
931,YouBike2.0_光復南路22巷口,29,2,松山區,2023-06-03 09:31:15,光復南路19號西側,27,1
932,YouBike2.0_光復南路58巷,12,6,松山區,2023-06-03 09:11:14,光復南路58巷11號東側,6,1
933,YouBike2.0_松山新城,14,1,松山區,2023-06-03 09:26:14,健康路78號(對面),13,1
934,YouBike2.0_內政部營建署,33,3,松山區,2023-06-03 09:31:15,八德路二段342號(前),30,1
935,YouBike2.0_南京光復路口,31,2,松山區,2023-06-03 09:27:13,南京東路四段186號前,29,1
936,YouBike2.0_民生立體停車場,20,4,松山區,2023-06-03 09:30:40,民生東路五段84號前,16,1
938,YouBike2.0_健安新城,30,6,松山區,2023-06-03 09:31:15,三民路43巷1號前,24,1
939,YouBike2.0_復盛公園,20,0,松山區,2023-06-03 09:21:04,八德路四段106巷/八德路四段106巷6弄口(東側),20,1
940,YouBike2.0_中崙福成宮,27,0,松山區,2023-06-03 09:28:04,市民大道四段73號前,27,1
944,YouBike2.0_臺北田徑場,42,1,松山區,2023-06-03 09:27:13,敦化北路/八德路三段(東北側),41,1
945,YouBike2.0_捷運小巨蛋站(5號出口),22,3,松山區,2023-06-03 09:31:15,南京東路四段75-1號前,19,1
946,YouBike2.0_敦化長春路口,34,2,松山區,2023-06-03 09:22:14,敦化北路112號前,32,1
947,YouBike2.0_饒河疏散門(基四號疏散門),19,6,松山區,2023-06-03 09:26:14,松河街182號對側,8,1
948,YouBike2.0_捷運松山站(2號出口),14,5,松山區,2023-06-03 09:27:13,八德路四段685號前,9,1
950,YouBike2.0_南京東路五段59巷口,11,4,松山區,2023-06-03 09:23:14,南京東路五段57號(前),7,1
951,YouBike2.0_三民公園(塔悠路),20,6,松山區,2023-06-03 09:22:14,塔悠路/撫遠街261巷(西側),14,1
952,YouBike2.0_寶清公園,13,4,松山區,2023-06-03 09:27:13,寶清街/寶清街30巷(北側),9,1
